,file,mrrs_fb0,mrrs_fb1,mrrs_fb2
0,00023.wav,0.1111111111111111,0.125,0.125
1,00014.wav,0.5,0.14285714285714285,0.14285714285714285
2,00038.wav,0.09090909090909091,0.029411764705882353,0.023809523809523808
3,00019.wav,0.06666666666666667,0.14285714285714285,0.06666666666666667
4,00043.wav,0.0625,0.08333333333333333,0.08333333333333333
5,00046.wav,0.07142857142857142,0.03571428571428571,0.030303030303030304
6,00029.wav,0.1,0.1,0.1
7,00045.wav,0.07692307692307693,0.07692307692307693,0.125
8,00013.wav,0.07692307692307693,0.058823529411764705,0.07692307692307693
9,00027.wav,0.125,1.0,1.0
10,00040.wav,0.02857142857142857,0.06666666666666667,0.03125
11,00039.wav,0.25,0.14285714285714285,0.09090909090909091
12,00018.wav,0.25,0.05263157894736842,0.1
13,00012.wav,0.045454545454545456,0.02631578947368421,0.02631578947368421
14,00034.wav,1.0,1.0,1.0
15,00017.wav,0.07692307692307693,1.0,0.5
16,00032.wav,0.023809523809523808,0.024390243902439025,0.024390243902439025
17,00035.wav,0.02631578947368421,0.02631578947368421,0.02631578947368421
18,00016.wav,0.25,0.125,0.25
19,00028.wav,0.045454545454545456,0.07142857142857142,0.07692307692307693
20,00022.wav,0.03225806451612903,0.034482758620689655,0.025
21,00030.wav,0.1,0.03225806451612903,0.027777777777777776
22,00020.wav,0.05263157894736842,0.037037037037037035,0.05
