,file,mrrs_fb0,mrrs_fb1,mrrs_fb2
0,00014.wav,0.0625,0.0625,0.02702702702702703
1,00031.wav,1.0,1.0,1.0
2,00019.wav,0.05263157894736842,0.05263157894736842,0.05555555555555555
3,00043.wav,0.043478260869565216,0.043478260869565216,0.2
4,00046.wav,0.021739130434782608,0.021739130434782608,0.021739130434782608
5,00029.wav,0.5,1.0,1.0
6,00045.wav,0.16666666666666666,0.16666666666666666,0.03125
7,00013.wav,0.022727272727272728,0.022727272727272728,0.022727272727272728
8,00040.wav,0.03225806451612903,0.03225806451612903,0.030303030303030304
9,00039.wav,0.02127659574468085,0.02127659574468085,0.022222222222222223
10,00041.wav,0.02631578947368421,0.02631578947368421,0.02631578947368421
11,00012.wav,0.024390243902439025,0.020833333333333332,0.020833333333333332
12,00033.wav,0.0625,0.0625,0.2
13,00017.wav,0.3333333333333333,0.3333333333333333,0.3333333333333333
14,00026.wav,0.5,0.5,0.5
15,00035.wav,0.037037037037037035,0.037037037037037035,0.030303030303030304
16,00016.wav,0.1111111111111111,0.1111111111111111,0.1111111111111111
17,00022.wav,0.14285714285714285,0.14285714285714285,0.1111111111111111
18,00030.wav,0.030303030303030304,0.030303030303030304,0.02857142857142857
19,00020.wav,0.5,0.5,0.5
