,file,mrrs_fb0,mrrs_fb1,mrrs_fb2
0,00037.wav,0.1,0.25,0.2
1,00023.wav,0.14285714285714285,0.1111111111111111,0.07692307692307693
2,00031.wav,0.03333333333333333,0.03225806451612903,0.038461538461538464
3,00024.wav,0.029411764705882353,0.025,0.034482758620689655
4,00038.wav,0.0625,0.02702702702702703,0.025
5,00019.wav,0.034482758620689655,0.125,0.045454545454545456
6,00042.wav,0.07142857142857142,0.14285714285714285,0.1111111111111111
7,00043.wav,0.03571428571428571,0.027777777777777776,0.037037037037037035
8,00046.wav,0.3333333333333333,0.14285714285714285,0.3333333333333333
9,00029.wav,0.043478260869565216,0.05263157894736842,0.034482758620689655
10,00045.wav,0.058823529411764705,0.025,0.047619047619047616
11,00013.wav,0.25,0.3333333333333333,0.5
12,00036.wav,0.02702702702702703,0.022222222222222223,0.02702702702702703
13,00027.wav,0.25,0.047619047619047616,0.06666666666666667
14,00011.wav,0.09090909090909091,1.0,0.3333333333333333
15,00040.wav,0.03225806451612903,0.022727272727272728,0.025
16,00039.wav,1.0,0.024390243902439025,0.5
17,00018.wav,0.021739130434782608,0.023255813953488372,0.022727272727272728
18,00041.wav,0.037037037037037035,0.04,0.02702702702702703
19,00012.wav,0.047619047619047616,0.03125,0.02631578947368421
20,00044.wav,0.030303030303030304,0.045454545454545456,0.05
21,00033.wav,0.027777777777777776,0.027777777777777776,0.037037037037037035
22,00034.wav,0.03571428571428571,0.045454545454545456,0.038461538461538464
23,00017.wav,0.06666666666666667,0.2,0.5
24,00032.wav,0.25,0.5,1.0
25,00047.wav,0.03125,0.045454545454545456,0.5
26,00026.wav,0.037037037037037035,0.058823529411764705,0.037037037037037035
27,00035.wav,0.041666666666666664,0.029411764705882353,0.04
28,00025.wav,0.058823529411764705,0.1,0.07142857142857142
29,00048.wav,0.027777777777777776,0.03333333333333333,0.03225806451612903
30,00016.wav,0.07692307692307693,0.125,0.5
31,00028.wav,0.05555555555555555,0.0625,0.043478260869565216
32,00021.wav,0.058823529411764705,0.045454545454545456,0.029411764705882353
33,00022.wav,0.03571428571428571,0.02857142857142857,0.03225806451612903
34,00030.wav,0.029411764705882353,0.030303030303030304,0.022727272727272728
35,00020.wav,0.024390243902439025,0.02127659574468085,0.022222222222222223
36,00015.wav,0.05263157894736842,0.030303030303030304,0.030303030303030304
